sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High
s_1896	SRF	1911	6738	6643	1217	6214	11681	15433	6320	5661	14908	24950	7457	869	2240	2465	1814
s_2629	FOXH1	1704	5553	4262	973	5279	9043	15180	7032	5273	6652	14064	4662	910	1612	3857	1771
s_3742	TGIF2	1833	5447	4517	927	5724	8289	7882	5158	9354	13085	20673	7228	1858	2311	3661	2983
s_5929	Non-Targeting Control	1389	5865	6787	1066	5770	10775	8116	4720	4445	17118	19248	7189	961	2981	2804	2132
s_239	ATF2	1960	3894	3795	766	5645	6825	8212	3841	6081	13954	19735	6365	1459	3076	2725	2965
s_2320	ZNF74	1822	4629	4460	1000	4188	7334	10125	3556	7928	18107	14324	10101	1151	1877	2336	2278
s_2654	IL1RL1	3255	7808	9202	1806	10833	20064	21016	11175	5576	18125	27601	6791	1033	4079	3271	2498
s_5893	Non-Targeting Control	3365	10969	10022	1700	10285	18959	11478	11028	7576	14491	14488	7548	1502	2929	4781	2596
s_4259	IL33	3471	8989	9034	1668	9455	16944	18924	8829	7917	20993	23192	7961	1619	3964	3633	2952
s_5703	Non-Targeting Control	1998	5933	6681	961	4499	10703	13129	3669	5244	10894	9294	6258	802	1437	2628	1661
s_1878	SPIB	2083	6634	5147	1118	7107	9209	10737	8849	3036	9065	14037	3054	561	1752	2054	1541
s_2032	TEAD1	1973	6317	6163	1253	7679	11169	11129	7249	4223	10864	12153	4904	666	1899	1791	1866
s_2217	ZNF3	1777	4797	6022	908	7654	11061	10583	4774	16780	13258	16933	11985	1014	1438	1621	1590
s_542	FOXE1	2241	8341	8249	1362	8596	12255	22177	7414	6181	17566	21099	5378	1299	3207	4113	2436
s_2026	MLX	1627	4912	3421	878	2357	5927	5608	3803	5084	14982	17643	5438	719	1861	2044	1498
s_2260	ZNF19	3034	7286	6750	1648	12525	15768	15733	9167	10446	16122	30100	7724	1750	5123	5544	3239
s_2812	TOPORS	1681	4920	4919	1080	7403	7910	7301	4640	8474	16811	16399	7690	986	1835	1553	2959
s_31	AIRE	1060	3121	4076	540	2114	3893	3020	3006	2021	5062	5018	4172	239	1918	1477	1119
s_613	GBX1	1221	4570	5403	633	4155	6350	6223	4258	3268	3915	5263	3435	629	2017	1576	1277
s_3081	ZNF423	1345	5938	4966	881	3125	6503	12408	4577	4216	10411	8706	5277	745	1604	2235	1561
