sgRNA	Gene	D1_MOI2_High	D1_MOI2_Low_Mid	D1_MOI2_Low	D1_MOI2_Mid_High	D2_MOI2_High	D2_MOI2_Low_Mid	D2_MOI2_Low	D2_MOI2_Mid_High	D1_MOI5_High	D1_MOI5_Low_Mid	D1_MOI5_Low	D1_MOI5_Mid_High	D2_MOI5_High	D2_MOI5_Low_Mid	D2_MOI5_Low	D2_MOI5_Mid_High	D3_MOI2_High	D3_MOI2_Low_Mid	D3_MOI2_Low	D3_MOI2_Mid_High	D4_MOI2_High	D4_MOI2_Low_Mid	D4_MOI2_Low	D4_MOI2_Mid_High	D3_MOI5_High	D3_MOI5_Low_Mid	D3_MOI5_Low	D3_MOI5_Mid_High	D4_MOI5_High	D4_MOI5_Low_Mid	D4_MOI5_Low	D4_MOI5_Mid_High
s_1896	SRF	1911	6738	6643	1217	6214	11681	15433	6320	5661	14908	24950	7457	869	2240	2465	1814	2692	7573	12335	3205	3755	10571	14288	9147	2779	8114	4897	1444	4232	6019	7064	4451
s_2629	FOXH1	1704	5553	4262	973	5279	9043	15180	7032	5273	6652	14064	4662	910	1612	3857	1771	2731	5938	7712	2776	4166	7807	8303	5957	3887	8787	10513	1773	3334	6040	7046	6522
s_3742	TGIF2	1833	5447	4517	927	5724	8289	7882	5158	9354	13085	20673	7228	1858	2311	3661	2983	2618	6324	10233	3920	3724	8048	7806	3850	3059	6965	6264	1396	3905	3767	3755	3700
s_5929	Non-Targeting Control	1389	5865	6787	1066	5770	10775	8116	4720	4445	17118	19248	7189	961	2981	2804	2132	6796	7940	13796	4996	3745	8669	11228	9238	3207	12417	12395	1990	7272	7669	6225	8201
s_239	ATF2	1960	3894	3795	766	5645	6825	8212	3841	6081	13954	19735	6365	1459	3076	2725	2965	3651	6191	13319	2678	3688	8389	7629	6811	3951	10048	7096	1672	4450	4262	5879	4981
s_2320	ZNF74	1822	4629	4460	1000	4188	7334	10125	3556	7928	18107	14324	10101	1151	1877	2336	2278	3656	6848	15067	2406	3633	7008	7491	6901	3331	5350	3613	1621	3979	6324	5915	3969
s_2654	IL1RL1	3255	7808	9202	1806	10833	20064	21016	11175	5576	18125	27601	6791	1033	4079	3271	2498	6258	14107	21843	7243	7526	13715	17453	9725	4679	16352	16950	3016	6894	8959	9424	5816
s_5893	Non-Targeting Control	3365	10969	10022	1700	10285	18959	11478	11028	7576	14491	14488	7548	1502	2929	4781	2596	3964	9845	18656	4574	5240	10818	11607	9274	4403	15682	10025	2002	5548	7495	10808	6150
s_4259	IL33	3471	8989	9034	1668	9455	16944	18924	8829	7917	20993	23192	7961	1619	3964	3633	2952	4204	7260	10566	3697	5727	10475	14268	6077	4698	10950	9632	1779	4025	7023	6882	6141
s_5703	Non-Targeting Control	1998	5933	6681	961	4499	10703	13129	3669	5244	10894	9294	6258	802	1437	2628	1661	2459	6925	11257	2020	3072	7226	10016	6558	2840	8654	9835	1554	3973	5135	5563	4235
