Gene_knocked_out,Validation_status,Screen_target
ETS1,Concordant & Decrease Target,CD25 (IL2RA)
MYC,not-validated,CD25 (IL2RA)
Non-Targeting,NA,CD25 (IL2RA)
ATXN7L3,Concordant & Increase Target,CD25 (IL2RA)
MYB,Concordant & Increase Target,CD25 (IL2RA)
KMT2A,Concordant & Decrease Target,CD25 (IL2RA)
TP53,not-validated,CD25 (IL2RA)
TNFAIP3,Concordant & Increase Target,CD25 (IL2RA)
GATA3,Concordant & Decrease Target,CD25 (IL2RA)
STAT5B,Concordant & Decrease Target,CD25 (IL2RA)
YY1,Concordant & Decrease Target,CD25 (IL2RA)
FOXP1,Concordant & Decrease Target,CD25 (IL2RA)
FOXK1,Concordant & Increase Target,CD25 (IL2RA)
STAT5A,Concordant & Decrease Target,CD25 (IL2RA)
RXRB,Concordant & Decrease Target,CD25 (IL2RA)
MBD2,Concordant & Decrease Target,CD25 (IL2RA)
IKZF1,not-validated,CD25 (IL2RA)
MED12,Concordant & Increase Target,CD25 (IL2RA)
ZNF217,Concordant & Increase Target,CD25 (IL2RA)
IKZF3,not-validated,CD25 (IL2RA)
KLF2,Concordant & Increase Target,CD25 (IL2RA)
IRF1,Concordant & Increase Target,CD25 (IL2RA)
HIVEP2,Concordant & Increase Target,CD25 (IL2RA)
PRDM1,Concordant & Increase Target,CD25 (IL2RA)
PTEN,Concordant & Decrease Target,CD25 (IL2RA)
IRF2,Concordant & Increase Target,CD25 (IL2RA)
FOXO1,not-validated,CD25 (IL2RA)
RELA,Concordant & Decrease Target,CD25 (IL2RA)
CBFB,Concordant & Increase Target,CD25 (IL2RA)
IL2RA,Concordant & Decrease Target,CD25 (IL2RA)
IRF4,Concordant & Decrease Target,CD25 (IL2RA)
TFDP1,not-validated,CD25 (IL2RA)
SMARCB1,not-validated,CD25 (IL2RA)
JAK3,Concordant & Decrease Target,CD25 (IL2RA)
