sgRNA	Gene	Teff_D1_GFP	Teff_D1_CD25_high	Teff_D1_CD25_low	Teff_D1_IL2_high	Teff_D1_IL2_low	Teff_D2_GFP	Teff_D2_CD25_high	Teff_D2_CD25_low	Teff_D2_IL2_high	Teff_D2_IL2_low	Teff_D2_CTLA4_high	Teff_D2_CTLA4_low	Teff_D2_FOXP3_high	Teff_D2_FOXP3_low	Teff_D3_GFP	Teff_D3_CD25_high	Teff_D3_CD25_low	Teff_D3_IL2_high	Teff_D3_IL2_low	Teff_D3_CTLA4_high	Teff_D3_CTLA4_low	Teff_D3_FOXP3_high	Teff_D3_FOXP3_low
s_2946	ZNF266	2856	2752	2329	2115	2076	3144	4068	2579	3213	4267	4451	3227	3869	2979	3864	5353	3269	4473	2452	3657	4178	3338	3926
s_5726	Non-Targeting Control	3987	3891	3352	4465	3017	3990	3844	3486	4302	4052	4335	4280	3978	3867	4490	7118	4239	5651	3670	4452	5472	3987	5210
s_3397	ETV7	5643	5514	3854	4524	3680	5403	4497	5034	5672	4861	5146	5399	4373	5186	5418	9259	5505	5484	4362	5128	5818	5063	5468
s_552	FOXD2	2412	1957	1827	2001	2030	2425	2484	2181	2524	2233	2725	2302	2211	1934	2400	3559	2637	2219	1899	2471	1988	2490	2867
s_4018	PDCD1LG2	4101	4243	3553	4849	3483	5349	5681	4791	5066	5427	5542	6089	4539	5809	4843	8380	5968	5476	4155	4692	5582	4855	4349
s_65	ATF3	1900	2267	1613	1796	1723	1918	1487	1799	2166	1873	1826	2173	1967	2082	2095	2328	2535	3287	1997	2152	1670	2304	2414
s_627	GFI1	3907	3701	3497	3149	2466	3376	2922	3477	2950	3406	4348	3278	3413	3240	2880	4077	3338	2758	2436	3543	2774	3353	3192
s_2365	ZNF133	2770	2280	1916	2752	2327	2618	2312	2284	2538	2482	2912	2834	2781	2563	2603	4508	2603	3182	2080	2595	2813	2647	2987
s_3112	USP22	5464	5653	3315	4381	3490	4671	3442	3618	3732	5280	5828	5150	4199	4053	4804	6342	4201	4874	4962	4525	5340	3812	5141
s_2180	XBP1	5616	4853	3026	3613	3791	4495	3456	4303	3047	4560	4112	4261	3547	3833	4188	6749	4207	3494	3819	4188	4010	3978	4314
s_2823	ZNF443	3695	5032	3248	3207	3608	3623	3333	3436	3793	3436	3690	3606	3278	3970	3458	6071	4111	5246	3213	3867	3921	3050	4316
